timestamp,alice_file,bob_file,overlap_duration_sec,sync_common_markers,sync_first_counter,sync_last_counter,sync_skew_ppm_mean,sync_skew_ppm_std,visibility,vis_HV,vis_DA,QBER_total,QBER_HV,QBER_DA,contrast_HV,contrast_DA,total_contrast,total_coincidences,optimization_score,C_HH,accidental_HH,delay_HH_ps,alice_events_HH,bob_events_HH,C_HV,accidental_HV,delay_HV_ps,alice_events_HV,bob_events_HV,C_VH,accidental_VH,delay_VH_ps,alice_events_VH,bob_events_VH,C_VV,accidental_VV,delay_VV_ps,alice_events_VV,bob_events_VV,C_DD,accidental_DD,delay_DD_ps,alice_events_DD,bob_events_DD,C_DA,accidental_DA,delay_DA_ps,alice_events_DA,bob_events_DA,C_AD,accidental_AD,delay_AD_ps,alice_events_AD,bob_events_AD,C_AA,accidental_AA,delay_AA_ps,alice_events_AA,bob_events_AA
1781886151.5997865,alice_20260619T162206.307595Z_exp_10.0s.bin,bob_20260619T162206.307595Z_exp_10.0s.bin,10.027005986327,9793,115979128,115988920,0.01241906693155016,0.04343150404078292,0.04246305418719212,0.22285714285714286,-0.13793103448275862,0.47876847290640395,0.38857142857142857,0.5689655172413793,1.5735294117415657,0.7575757575642791,1.1716417910360326,291,0.04246305418719212,44,8.033469321534428,39799.99923706055,342951,587195,47,8.62071655142832,35799.99923706055,342951,630119,21,9.968640821427776,36700.00076293945,425564,587195,63,10.697349237914574,35299.99923706055,425564,630119,38,5.343119568119983,35500.0,227313,589226,54,6.209715007979993,39299.99923706055,227313,684792,12,1.7498009655848448,35400.001525878906,74442,589226,12,2.033599506513251,39299.99923706055,74442,684792
1781886166.2177715,alice_20260619T162232.091564Z_exp_5.0s.bin,bob_20260619T162232.091564Z_exp_5.0s.bin,5.025790990922,4909,116004303,116009211,0.01062141814302096,0.04305917061413951,0.051885031728256814,0.19148936170212766,-0.08771929824561403,0.47405748413587157,0.40425531914893614,0.543859649122807,1.4736842104875347,0.8387096773922997,1.188405797084226,151,0.051885031728256814,16,3.8603515539433038,39400.001525878906,166031,292134,25,4.147075824372155,35500.0,166031,313832,13,4.852160410340962,-2200.000047683716,208688,292134,40,5.212550425140945,35400.001525878906,208688,313832,21,2.568941854390852,35500.0,109903,293690,24,2.997183385621971,39099.998474121094,109903,342648,7,0.8028016340687134,35900.001525878906,34345,293690,5,0.9366283302474601,-26799.999237060547,34345,342648
1781886180.8280094,alice_20260619T162246.710747Z_exp_5.0s.bin,bob_20260619T162246.710747Z_exp_5.0s.bin,5.027839011664,4911,116018581,116023491,0.01551681157670501,0.04603570485894778,-0.02871148459383753,0.1568627450980392,-0.21428571428571427,0.5143557422969187,0.4215686274509804,0.6071428571428571,1.372093023223905,0.6470588235103807,1.0519480519343902,158,-0.02871148459383753,26,3.778860132777398,39799.99923706055,163092,291239,30,4.066453603579766,35599.998474121094,163092,313404,13,4.740582029198997,54799.99923706055,204599,291239,33,5.101368189971406,35599.998474121094,204599,313404,17,2.4876053464290666,35599.998474121094,106992,292248,26,2.9093477778555297,38900.001525878906,106992,341795,8,0.7658909798556891,35599.998474121094,32941,292248,5,0.895738234170209,-26799.999237060547,32941,341795
1781886195.412739,alice_20260619T162301.308340Z_exp_5.0s.bin,bob_20260619T162301.308340Z_exp_5.0s.bin,5.025790974945,4909,116032839,116037747,0.009821144970356879,0.044388036230584495,-0.031674208144796386,0.10588235294117647,-0.16923076923076924,0.5158371040723982,0.4470588235294118,0.5846153846153846,1.2368421052306096,0.7105263157707757,0.9736842105135041,150,-0.031674208144796386,17,3.772391352867094,39299.99923706055,162462,291749,25,4.057788121803688,35400.001525878906,162462,313821,13,4.818737570092642,-34700.00076293945,207524,291749,30,5.1832946916152,35299.99923706055,207524,313821,21,2.6074066535851914,35799.99923706055,111373,294153,30,3.0380520573415,39099.998474121094,111373,342736,8,0.8109736334676362,35400.001525878906,34640,294153,6,0.9449159425202658,-37400.001525878906,34640,342736
1781886210.1608202,alice_20260619T162315.898724Z_exp_5.0s.bin,bob_20260619T162315.898724Z_exp_5.0s.bin,5.007358981649,4891,116047096,116051986,0.0071281122137077275,0.04474891503087545,0.018872064955014256,0.13978494623655913,-0.10204081632653061,0.49056396752249287,0.43010752688172044,0.5510204081632653,1.3249999999668751,0.8148148147846365,1.1194029850579192,142,0.018872064955014256,23,3.8121780088779893,39400.001525878906,163717,291493,26,4.097058515673656,35700.00076293945,163717,313276,14,4.849392575645406,-8500.0,208261,291493,30,5.211783159554055,35500.0,208261,313276,17,2.657572802582982,35700.00076293945,113198,293897,20,3.0899956888061175,39400.001525878906,113198,341718,7,0.8396153301186874,35799.99923706055,35763,293897,5,0.9762320519688791,-13699.999809265137,35763,341718
1781886224.835417,alice_20260619T162330.669306Z_exp_5.0s.bin,bob_20260619T162330.669306Z_exp_5.0s.bin,5.026814969677,4910,116061511,116066420,0.011525392128328435,0.04494848326894787,-0.011266511266511264,0.13131313131313133,-0.15384615384615385,0.5056332556332557,0.43434343434343436,0.5769230769230769,1.3023255813650623,0.7333333333088888,1.0684931506702946,151,-0.011266511266511264,22,3.762658117813184,39799.99923706055,161647,292523,26,4.040519826673686,36000.0,161647,314125,17,4.822064471881194,39400.001525878906,207160,292523,34,5.178160357406699,35400.001525878906,207160,314125,17,2.6415952868965924,35500.0,113005,293766,23,3.079774983441407,39500.0,113005,342495,7,0.8234867374611138,35799.99923706055,35228,293766,5,0.9600841831483022,-88000.0,35228,342495
1781886239.4897547,alice_20260619T162345.323431Z_exp_5.0s.bin,bob_20260619T162345.323431Z_exp_5.0s.bin,5.007358988367,4891,116075827,116080717,0.014661026840273357,0.04538653765932862,0.0015915119363395236,0.1724137931034483,-0.16923076923076924,0.4992042440318303,0.41379310344827586,0.5846153846153846,1.4166666666273149,0.7105263157707757,1.05405405403981,152,0.0015915119363395236,16,3.526859888142225,39599.998474121094,152048,290373,24,3.77379947407418,35700.00076293945,152048,310704,12,4.541648594645001,-24600.000381469727,195797,290373,35,4.8596404794887285,35299.99923706055,195797,310704,22,2.484541222649039,35599.998474121094,107062,290509,29,2.8945248621622715,39099.998474121094,107062,338447,9,0.7984218561696977,35099.998474121094,34405,290509,5,0.9301724970829328,4400.000095367432,34405,338447
1781886254.1603794,alice_20260619T162359.967552Z_exp_5.0s.bin,bob_20260619T162359.967552Z_exp_5.0s.bin,5.025790978612,4909,116090124,116095032,0.014953071782936719,0.044048433429840654,0.11293260473588343,0.1111111111111111,0.11475409836065574,0.4435336976320583,0.4444444444444444,0.4426229508196721,1.249999999965278,1.25925925921262,1.2539682539483499,142,0.11293260473588343,22,3.7874144676141968,39400.001525878906,162483,292873,23,4.071917027725618,35500.0,162483,314873,13,4.869889190887005,-19200.000762939453,208922,292873,23,5.235704961543617,35299.99923706055,208922,314873,29,2.7105379169115835,35599.998474121094,115425,295053,21,3.1486567084352433,38799.99923706055,115425,342744,6,0.8699787585689707,35200.00076293945,37047,295053,5,1.0105980946710025,16200.000762939453,37047,342744
1781886268.8881717,alice_20260619T162414.680019Z_exp_5.0s.bin,bob_20260619T162414.680019Z_exp_5.0s.bin,5.00633501761,4890,116104499,116109388,0.021385910498439038,0.044323137005838086,0.09531620193183889,0.13978494623655913,0.05084745762711865,0.45234189903408056,0.43010752688172044,0.4745762711864407,1.3249999999668751,1.1071428571033164,1.2352941176288927,152,0.09531620193183889,23,3.926181615265447,39799.99923706055,167087,294095,23,4.2063456689826495,35799.99923706055,167087,315081,17,4.968028320620379,39599.998474121094,211425,294095,30,5.322536361683774,35299.99923706055,211425,315081,24,2.8482453966509236,35700.00076293945,120685,295382,19,3.2981683107341513,38799.99923706055,120685,342042,9,0.9800881205793557,35599.998474121094,41528,295382,7,1.1349076820496984,53299.99923706055,41528,342042
1781886283.4865015,alice_20260619T162429.360474Z_exp_5.0s.bin,bob_20260619T162429.360474Z_exp_5.0s.bin,5.006335003814,4890,116118835,116123724,0.01774651985944506,0.043318517946132916,-0.04718105944472832,0.20388349514563106,-0.2982456140350877,0.5235905297223642,0.39805825242718446,0.6491228070175439,1.5121951219143368,0.5405405405259314,1.0512820512685732,160,-0.04718105944472832,26,4.024483987398091,39799.99923706055,170938,294667,27,4.309001936219903,35799.99923706055,170938,315499,14,4.99838566299222,21000.0,212304,294667,36,5.351755297635577,35500.0,212304,315499,14,2.833167488231271,35700.00076293945,119870,295816,27,3.2837776552059887,39500.0,119870,342865,10,1.0081651723575946,35599.998474121094,42655,295816,6,1.168512020378839,21500.0,42655,342865
